year,cyclones,hardbottom_mean,hardbottom_delta,rubble_mean,rubble_delta
2000,3,,,,
2001,2,,,,
2002,3,,,,
2003,3,,,,
2004,5,,,,
2005,6,,,,
2006,2,,,,
2007,3,,,,
2008,4,,,,
2009,2,,,,
2010,2,,,,
2012,4,,,,
2013,1,,,,
2016,4,7.7958321599549425,,0.5164742326105323,
2017,3,,,,
2018,3,7.064091559370529,-0.7317406005844136,0.4798283261802575,-0.036645906430274766
2019,3,,,,
2020,5,10.695345557122709,3.6312539977521796,0.7870239774330042,0.3071956512527467
2021,4,6.624484991171277,-4.070860565951431,0.6768687463213655,-0.11015523111163872
2022,3,8.123360854783876,1.4988758636125983,0.6138902379796017,-0.06297850834176377
2023,2,,,,
2024,4,,,,
2025,1,,,,
